spec	filterThreshold	supportedICs	percsupportedICs	tech	support
Hv3	11	92330	72.9005	novel_ICs	supported
Hv3	11	8248	82.5708	novel_pacBioOnly_ICs	supported
Hv3	11	58786	66.4346	novel_ONTonly_ICs	supported
Hv3	11	25296	89.7785	novel_pacBio+ONT_ICs	supported
Hv3	11	35023	73.445	intergenic_ICs	supported
Hv3	11	1605	72.3625	intergenic_pacBioOnly_ICs	supported
Hv3	11	25322	70.3291	intergenic_ONTonly_ICs	supported
Hv3	11	8096	85.5543	intergenic_pacBio+ONT_ICs	supported
Hv3	120	330980	70.632	all_ICs	supported
Hv3	120	33546	81.6701	all_pacBioOnly_ICs	supported
Hv3	120	188886	61.2892	all_ONTonly_ICs	supported
Hv3	120	108548	90.9607	all_pacBio+ONT_ICs	supported
Hv3	120	78218	61.7582	novel_ICs	supported
Hv3	120	7349	73.5709	novel_pacBioOnly_ICs	supported
Hv3	120	47199	53.34	novel_ONTonly_ICs	supported
Hv3	120	23670	84.0077	novel_pacBio+ONT_ICs	supported
Hv3	120	28131	58.9922	intergenic_ICs	supported
Hv3	120	1231	55.5005	intergenic_pacBioOnly_ICs	supported
Hv3	120	19595	54.423	intergenic_ONTonly_ICs	supported
Hv3	120	7305	77.1954	intergenic_pacBio+ONT_ICs	supported
Hv3	121	330765	70.5861	all_ICs	supported
Hv3	121	33531	81.6336	all_pacBioOnly_ICs	supported
Hv3	121	188708	61.2315	all_ONTonly_ICs	supported
Hv3	121	108526	90.9423	all_pacBio+ONT_ICs	supported
Hv3	121	78143	61.699	novel_ICs	supported
Hv3	121	7344	73.5209	novel_pacBioOnly_ICs	supported
Hv3	121	47137	53.27	novel_ONTonly_ICs	supported
Hv3	121	23662	83.9793	novel_pacBio+ONT_ICs	supported
Hv3	121	28094	58.9146	intergenic_ICs	supported
Hv3	121	1229	55.4103	intergenic_pacBioOnly_ICs	supported
Hv3	121	19565	54.3397	intergenic_ONTonly_ICs	supported
Hv3	121	7300	77.1426	intergenic_pacBio+ONT_ICs	supported
Hv3	122	330539	70.5379	all_ICs	supported
